Timestamp,ExecutionType,NumIterations,ImageWidth,ImageHeight,NumAngles,NumDetectors,RelaxationFactor,FinalErrorNorm,ReconstructionTime_ms
2025-10-06 13:47:22,Metal,100,256,256,90,725,1.25,0.766953,487.358
2025-10-06 13:47:45,Metal,1000,256,256,90,725,1.25,0.507384,4676.97
2025-10-06 13:47:55,Metal,500,256,256,90,725,1.25,0.603009,2451.11
2025-10-06 13:48:35,Metal,5000,256,256,90,725,1.25,0.275678,23426.7
2025-10-06 13:49:34,Metal,10000,256,256,90,725,1.25,0.217709,47587.9
2025-10-06 13:58:47,Metal,10000,256,256,90,725,1.5,0.213875,46301
2025-10-06 14:09:45,Metal,5000,256,256,90,725,1.5,0.267578,25011
2025-10-06 14:10:01,Metal,1000,256,256,90,725,1.5,0.496395,5079.89
2025-10-06 14:10:10,Metal,500,256,256,90,725,1.5,0.593454,2410.36
2025-10-06 14:10:18,Metal,100,256,256,90,725,1.5,0.760795,498.787
2025-10-06 14:11:01,Metal,100,256,256,90,725,1.75,0.755046,495.204
2025-10-06 14:11:06,Metal,500,256,256,90,725,1.75,0.584409,2414.04
2025-10-06 14:11:14,Metal,1000,256,256,90,725,1.75,0.486062,4615.83
2025-10-06 14:11:41,Metal,5000,256,256,90,725,1.75,0.260426,24201
2025-10-06 14:12:37,Metal,10000,256,256,90,725,1.75,0.210682,47609.3
2025-10-06 14:13:54,Metal,100,256,256,90,725,2,0.749635,464.974
2025-10-06 14:13:59,Metal,500,256,256,90,725,2,0.575818,2253.85
2025-10-06 14:14:25,Metal,5000,256,256,90,725,2,0.254086,22334.5
2025-10-06 14:14:37,Metal,1000,256,256,90,725,2,0.476315,4500.71
2025-10-06 14:15:31,Metal,10000,256,256,90,725,2,0.208006,49398.2
2025-10-06 14:22:40,Metal,100,256,256,90,725,2.25,0.744507,461.425
2025-10-06 14:22:42,Metal,500,256,256,90,725,2.25,0.567633,2310.04
2025-10-06 14:22:48,Metal,1000,256,256,90,725,2.25,0.467098,5270.61
2025-10-06 14:23:13,Metal,5000,256,256,90,725,2.25,0.248447,24341.2
2025-10-06 14:24:02,Metal,10000,256,256,90,725,2.25,0.205752,48373.1
2025-10-06 14:25:11,Metal,100,256,256,90,725,2.5,0.739616,567.491
2025-10-06 14:25:14,Metal,500,256,256,90,725,2.5,0.559818,2670
2025-10-06 14:25:20,Metal,1000,256,256,90,725,2.5,0.458364,4846.28
2025-10-06 14:25:44,Metal,5000,256,256,90,725,2.5,0.243415,23807.8
2025-10-06 14:26:33,Metal,10000,256,256,90,725,2.5,0.203843,48326.5
2025-10-06 14:27:03,Metal,100,256,256,90,725,2.75,0.734929,550.761
2025-10-06 14:27:06,Metal,500,256,256,90,725,2.75,0.552336,2556.63
2025-10-06 14:27:12,Metal,1000,256,256,90,725,2.75,0.450069,4815.81
2025-10-06 14:27:36,Metal,5000,256,256,90,725,2.75,0.238913,23801.4
2025-10-06 14:28:24,Metal,10000,256,256,90,725,2.75,0.202219,47545.8
2025-10-06 14:29:00,Metal,100,256,256,90,725,3,0.73042,520.151
