Timestamp,NumIterations,ImageWidth,ImageHeight,NumAngles,NumDetectors,ScanTime_ms,ProjectionTime_ms,ReconstructionTime_ms
2025-09-07 19:21:53,500,256,256,180,725,80.6582,1678.88,9340.96
2025-09-07 19:22:44,1000,256,256,180,725,80.5143,2446.14,18531.1
2025-09-07 19:23:22,250,256,256,180,725,79.1632,1383.95,4704.76
2025-09-07 19:23:46,100,256,256,180,725,79.5169,1861.99,1905.05
2025-09-07 19:40:58,100,256,256,180,725,114.345,2159.09,1865.94
2025-09-07 19:41:47,500,256,256,180,725,97.6099,2088.93,9159.3
2025-09-07 19:43:24,500,256,256,180,725,98.0384,1462.83,9212.05
2025-09-07 22:04:58,500,256,256,180,725,108.166,3571.61,9405.92
2025-09-08 00:10:33,500,256,256,180,725,116.229,2391.84,9157.6
2025-09-08 00:23:15,500,256,256,180,725,89.0452,2193.05,9180.48
2025-09-08 00:57:54,500,256,256,180,725,122.631,1135.37,8790.25
2025-09-08 01:01:22,500,256,256,180,725,101.591,1567.22,8966.94
2025-09-08 10:14:15,500,256,256,180,725,141.015,3222,8824.8
2025-09-08 11:14:53,500,256,256,180,725,2198.14,2333.43,8817.84
2025-09-08 11:17:02,500,256,256,180,725,4236.4,106.514,8793.74
2025-09-08 11:23:59,500,256,256,180,725,3076.36,44.1937,8809.68
2025-09-08 11:25:23,500,256,256,180,725,3015.86,51.035,8788.6
2025-09-08 11:28:20,500,256,256,180,725,2364.55,44.3929,8758.27
2025-09-08 11:30:24,500,256,256,180,725,3148.55,57.583,9173.86
2025-09-08 11:32:02,500,256,256,180,725,4668.03,49.7912,9172.31
2025-09-08 11:37:39,500,256,256,180,725,2535.87,51.3139,9185.12
2025-09-08 11:51:54,500,256,256,180,725,3365.08,48.9143,9340.3
2025-09-08 11:54:09,500,256,256,180,725,2823.35,46.3267,9206.2
2025-09-08 11:55:06,500,256,256,180,725,5057.53,94.5484,9198.82
2025-09-08 11:56:59,500,256,256,180,725,3297.52,45.4682,9165.61
2025-09-08 11:59:58,500,256,256,180,725,4689.91,47.4775,9306.97
2025-09-08 12:00:55,500,256,256,180,725,3903.32,24.8477,9358.45
2025-09-08 12:02:02,500,256,256,180,725,1325.4,28.5946,9365.52
2025-09-08 12:04:44,500,256,256,180,725,3142.44,195.337,9295.9
2025-09-08 12:09:36,500,256,256,180,725,3070.56,76.4544,9416.49
2025-09-08 12:12:41,500,256,256,180,725,8788.69,28.7532,9296.46
