Timestamp,ExecutionType,NumIterations,ImageWidth,ImageHeight,NumAngles,NumDetectors,ReconstructionTime_ms,FinalUpdateNorm
2025-09-15 00:21:10,openmp,1000,256,256,90,725,62317,NA
2025-09-14 23:36:47,Sequential,100,256,256,90,725,11632.3,NA
2025-09-14 23:39:11,Sequential,1000,256,256,90,725,117018,NA
2025-09-14 23:43:39,Sequential,1000,256,256,90,725,119726,NA
2025-09-14 23:48:17,Sequential,10,256,256,90,725,1354.25,NA
2025-09-14 23:49:21,Sequential,10,256,256,90,725,1216.12,NA
2025-09-15 00:24:29,openmp,1000,256,256,90,725,65814.4,NA
2025-09-15 09:55:11,openmp,10,256,256,90,725,632.475,NA
2025-09-15 09:55:12,openmp,10,256,256,90,725,658.955,NA
2025-09-15 09:55:12,openmp,10,256,256,90,725,687.912,NA
2025-09-15 09:55:19,openmp,100,256,256,90,725,6411.76,NA
2025-09-15 09:55:26,openmp,100,256,256,90,725,6621.93,NA
2025-09-15 09:55:33,openmp,100,256,256,90,725,6713.62,NA
2025-09-15 09:56:06,openmp,500,256,256,90,725,33317.8,NA
2025-09-15 09:56:42,openmp,500,256,256,90,725,35384.6,NA
2025-09-15 09:57:19,openmp,500,256,256,90,725,37139.5,NA
2025-09-15 09:58:34,openmp,1000,256,256,90,725,74734.8,NA
2025-09-15 09:59:49,openmp,1000,256,256,90,725,74958.8,NA
2025-09-15 10:01:05,openmp,1000,256,256,90,725,75550.6,NA
2025-09-15 10:42:49,Sequential,100,256,256,90,725,25187,NA
2025-09-15 10:50:03,Sequential,10,256,256,90,725,2518.13,NA
2025-09-15 10:52:22,Sequential,10,256,256,90,725,2515.77,NA
2025-09-15 10:52:25,Sequential,10,256,256,90,725,2547.01,NA
2025-09-15 10:52:28,Sequential,10,256,256,90,725,2518.8,NA
2025-09-15 10:52:29,openmp,10,256,256,90,725,604.33,NA
2025-09-15 10:52:29,openmp,10,256,256,90,725,652.443,NA
2025-09-15 10:52:30,openmp,10,256,256,90,725,712.589,NA
